experiment,dataset,method,original_rows,training_rows,chop_grid_s,chop_grid_T,max_rows_per_cell,smoothing_type,smoothing_strength,test_obs_q_RMSE,clean_q_RMSE,clean_dq_ds_RMSE,clean_dq_dT_RMSE,test_obs_q_RMSE/noise,clean_dq_ds_RMSE/noise,clean_dq_dT_RMSE/noise,entropy_violation_%,worst_entropy_violation,deriv_violation_%,worst_deriv_violation,status,build_s,newton_steps,flux_calls,final_residual,rel_solution_err,solve_total_s,flux_eval_s,nonflux_s,avg_flux_eval_us,model_regularization_type,model_regularization_strength,regularization_type,regularization_strength
bello,linear_medium_noise,FiniteDiff,3000,289,17,17,1,none,0.0,0.2393255223641998,0.19601788398491177,0.30057838836395745,0.5388916568418354,2.248659081658715,1.239768757409761,1.1092504947559174,0.2,0.000123559730949838,0.0,0.0,ok,0.0649081000010483,24.0,4000,6.115679499061687e-09,0.0065668523089872,0.5104902000020957,0.3559722999634687,0.15451790003862698,88.99307499086717,,,,
bello,linear_medium_noise,FiniteDiff+reg=laplacian:0.01,3000,289,17,17,1,laplacian,0.01,0.23209777103843576,0.18848708515900237,0.2778320382519694,0.48977062779042807,2.131663387269129,1.145948924362415,1.0081401415218063,0.2,4.425704437821741e-06,0.0,0.0,ok,0.07027309999102727,17.0,2800,8.855567484923495e-09,0.0064685935551763605,0.35168809999595396,0.24550769946654327,0.10618040052941069,87.68132123805117,,,,
bello,linear_medium_noise,FiniteDiff+reg=laplacian:0.1,3000,289,17,17,1,laplacian,0.1,0.21320817334494852,0.1696249246203504,0.21458604520209829,0.34782483202527686,1.8392536971821223,0.8850838414089416,0.7159599932824192,0.0,0.0,0.0,0.0,ok,0.0698809000023175,10.0,1680,1.5167420331520476e-09,0.0076079434821189505,0.21149379998678342,0.14762569993035868,0.06386810005642474,87.87244043473731,,,,
bello,linear_medium_noise,FiniteDiff+reg=gradient:0.03,3000,289,17,17,1,gradient,0.03,0.23373792447430244,0.19024201549401024,0.27792638934626984,0.4930172683711009,2.150963178059765,1.1463380858705918,1.0148230018420263,0.2,4.444192670366915e-05,0.0,0.0,ok,0.06930360000114888,20.0,3280,6.263733162002415e-09,0.006499822067794645,0.4104817000043113,0.2876709000120172,0.12281079999229405,87.70454268659061,,,,
bello,linear_medium_noise,FiniteDiff+reg=gradient:0.3,3000,289,17,17,1,gradient,0.3,0.22333444134229327,0.1803704245793526,0.20820683707467533,0.3054100037580022,1.820943892645583,0.8587720929946908,0.6286536328236406,0.0,0.0,0.0,0.0,ok,0.06737099999736529,11.0,1840,2.489126005298449e-09,0.006465672961557173,0.23539099999470636,0.1638956000097096,0.07149539998499677,89.07369565745087,,,,
bello,linear_medium_noise,rff,3000,289,17,17,1,none,0.0,0.14161497346374424,0.08328531591328647,0.27225729722133213,0.5400086882212612,1.03690482577009,1.1229552893307917,1.111549783665951,0.4,0.0001761193510119172,0.4,0.39382482557776693,ok,0.10539099999004975,4.0,720,3.192195285879675e-14,0.003578822573997133,0.16244169999845326,0.13037310019717552,0.03206859980127774,181.0737502738549,,,,
bello,linear_medium_noise,rff+reg=laplacian:0.01,3000,289,17,17,1,laplacian,0.01,0.21011660247229666,0.17754343625425006,0.25730925868230053,0.5081555689631552,1.805211945186611,1.0613004535785662,1.0459835648388822,0.4,0.0003020149568849233,0.0,0.0,ok,0.10135480000462849,3.0,560,1.8136213676248333e-10,0.004281689653877082,0.12555319999228232,0.10048879998794291,0.025064400004339404,179.4442856927552,,,,
bello,linear_medium_noise,rff+reg=laplacian:0.1,3000,289,17,17,1,laplacian,0.1,0.20567502105222482,0.17003455288221198,0.21837869357378303,0.40983963056985295,1.732583605739507,0.9007270384619589,0.8436107837416773,0.4,0.0002061622677117103,0.0,0.0,ok,0.09588490000169259,3.0,560,8.684450696396383e-12,0.004495913292284126,0.12428279999585357,0.10022450010001194,0.02405829989584163,178.97232160716416,,,,
bello,linear_medium_noise,rff+reg=gradient:0.03,3000,289,17,17,1,gradient,0.03,0.21026867485598763,0.1772869888472138,0.2529282681482258,0.49681312827441015,1.796940180783503,1.0432305743027577,1.0226363710458581,0.4,0.0002887723647507622,0.0,0.0,ok,0.08876639998925384,3.0,560,1.660354217289996e-10,0.0043750624132878856,0.12684640000225045,0.10177720004867297,0.02506919995357748,181.745000086916,,,,
bello,linear_medium_noise,rff+reg=gradient:0.3,3000,289,17,17,1,gradient,0.3,0.21410449368108347,0.17713441958476106,0.21693394583618297,0.33896451285071194,1.7027704894984383,0.8947680168664137,0.697721979567974,0.2,0.00024089975695038593,0.0,0.0,ok,0.12241619999986142,3.0,560,3.155088860812049e-12,0.00487957956274672,0.12957109999842942,0.10374409981886856,0.025827000179560855,185.25732110512243,,,,
bello,linear_medium_noise,cubicspline,3000,289,17,17,1,none,0.0,0.2716920977199998,0.23724663775197852,0.8430134058924064,1.7584998082746606,2.741779809924927,3.477101891429007,3.619682653445419,0.6,0.0013914376456716226,4.8,1.265934703479346,ok,0.0666547000000719,6.0,1280,8.105177089267103e-13,0.007181958640995246,0.054229000001214445,0.009431900223717093,0.04479709977749735,7.368672049778979,,,,
bello,linear_medium_noise,cubicspline+reg=laplacian:0.01,3000,289,17,17,1,laplacian,0.01,0.2564321715294622,0.21997535142289235,0.7062215987247272,1.4496232298558227,2.5148252592595783,2.9128889760587917,2.983893449660863,0.4,0.00042719677181801,2.1999999999999997,0.7951449529774444,ok,0.06786320000537671,5.0,960,2.5380503847947315e-11,0.0058947472818832595,0.041621899988967925,0.007082500247634016,0.03453939974133391,7.377604424618767,,,,
bello,linear_medium_noise,cubicspline+reg=laplacian:0.1,3000,289,17,17,1,laplacian,0.1,0.22221915780448406,0.18086518188943973,0.40937925243359974,0.7804282517063008,1.9866535714533848,1.688529936771062,1.6064275876900238,0.0,0.0,0.2,0.46427609872129555,ok,0.06989129999419674,4.0,720,1.8796570908701955e-14,0.006423316927456627,0.0310853999981191,0.005339999974239618,0.025745400023879483,7.416666630888358,,,,
bello,linear_medium_noise,cubicspline+reg=gradient:0.03,3000,289,17,17,1,gradient,0.03,0.2601486627409699,0.2241727427028943,0.7436859275621313,1.544119989202825,2.5674536385808007,3.0674147377502754,3.178404861607361,0.4,0.00025528740565006967,3.2,0.9879953831074721,ok,0.0675039000052493,6.0,1280,2.1682368591390618e-13,0.006539472247610125,0.055453499997383915,0.009469200012972578,0.045984299984411336,7.397812510134827,,,,
bello,linear_medium_noise,cubicspline+reg=gradient:0.3,3000,289,17,17,1,gradient,0.3,0.2300757771069911,0.18883851217860204,0.40268270072801077,0.7816001735618442,1.9744507505972608,1.6609092697225865,1.608839862739326,0.0,0.0,0.2,0.0037253046105227253,ok,0.06708910000452306,4.0,720,1.7950014859363806e-12,0.005610040078374847,0.03059130000474397,0.005300700577208772,0.0252905994275352,7.362084135012184,,,,
bello,linear_medium_noise,pchip,3000,289,17,17,1,none,0.0,,,,,,,,0.6,0.003127216049912451,0.0,0.0,ok,0.06795759999658912,7.0,1360,9.693564643691499e-09,0.005512168066885081,0.5247876000066753,0.4648593002348207,0.059928299771854654,341.80830899619167,,,,
bello,linear_medium_noise,pchip+reg=laplacian:0.01,3000,289,17,17,1,laplacian,0.01,,,,,,,,0.4,0.00201607475840298,0.0,0.0,ok,0.07132700001238845,8.0,1440,1.3060886607584144e-09,0.004958973408108136,0.5618944000016199,0.4970343000459252,0.06486009995569475,345.16270836522585,,,,
